Datejust Descriptions
"The Datejust collection (Reference Number: 116200) has a case size of 36, with a Standard Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 6600.0"
"The Datejust collection (Reference Number: 116234) has a case size of 36, with a Diamond Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 9240.0"
"The Datejust collection (Reference Number: 116234) has a case size of 36, with a Standard Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 7380.0"
"The Datejust collection (Reference Number: 116234) has a case size of 36, with a Standard Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 7320.0"
"The Datejust collection (Reference Number: 116234) has a case size of 36, with a Diamond 6 & 9 Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 9720.0"
"The Datejust collection (Reference Number: 116234) has a case size of 36, with a Diamond Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 9180.0"
"The Datejust collection (Reference Number: 116234) has a case size of 36, with a Mother of Pearl Diamond Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 11760.0"
"The Datejust collection (Reference Number: 116234) has a case size of 36, with a Mother of Pearl Diamond Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 11820.0"
"The Datejust collection (Reference Number: 116234) has a case size of 36, with a Diamond 6 & 9 Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 9660.0"
"The Datejust collection (Reference Number: 116244) has a case size of 36, with a Diamond Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 15540.0"
"The Datejust collection (Reference Number: 116244) has a case size of 36, with a Standard Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 13680.0"
"The Datejust collection (Reference Number: 116244) has a case size of 36, with a Standard Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 13620.0"
"The Datejust collection (Reference Number: 116244) has a case size of 36, with a Mother of Pearl Diamond Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 18120.0"
"The Datejust collection (Reference Number: 116244) has a case size of 36, with a Diamond Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 15480.0"
"The Datejust collection (Reference Number: 116244) has a case size of 36, with a Mother of Pearl Diamond Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 18060.0"
"The Datejust collection (Reference Number: 116244) has a case size of 36, with a Diamond 6 & 9 Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 16020.0"
"The Datejust collection (Reference Number: 116244) has a case size of 36, with a Diamond 6 & 9 Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 15960.0"
"The Datejust collection (Reference Number: 126200) has a case size of 36, with a Standard Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 6780.0"
"The Datejust collection (Reference Number: 126200) has a case size of 36, with a Standard Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 6960.0"
"The Datejust collection (Reference Number: 126201) has a case size of 36, with a Standard Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 10800.0"
"The Datejust collection (Reference Number: 126201) has a case size of 36, with a Standard Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 11400.0"
"The Datejust collection (Reference Number: 126201) has a case size of 36, with a Diamond Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 12720.0"
"The Datejust collection (Reference Number: 126201) has a case size of 36, with a Diamond Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 13320.0"
"The Datejust collection (Reference Number: 126201) has a case size of 36, with a Diamond VI IX Dial Oyster Bracelet and Date, Stop Seconds complications, all with a retail Price of 13200.0"
"The Datejust collection (Reference Number: 126201) has a case size of 36, with a Diamond VI IX Dial Jubilee Bracelet and Date, Stop Seconds complications, all with a retail Price of 13800.0"
