Day-Date Descriptions
"The Day-Date collection (Reference Number: 118135) has a case size of 36, with a Diamond Dial and Day Date, Date complications, all with a retail Price of 24660.0"
"The Day-Date collection (Reference Number: 118135) has a case size of 36, with a Ferrite Diamond Dial and Day Date, Date complications, all with a retail Price of 29040.0"
"The Day-Date collection (Reference Number: 118135) has a case size of 36, with a Meteorite Diamond Dial and Day Date, Date complications, all with a retail Price of 29040.0"
"The Day-Date collection (Reference Number: 118135) has a case size of 36, with a Mother of Pearl Diamond Dial and Day Date, Date complications, all with a retail Price of 26280.0"
"The Day-Date collection (Reference Number: 118135) has a case size of 36, with a Standard Dial and Day Date, Date complications, all with a retail Price of 21840.0"
"The Day-Date collection (Reference Number: 118138) has a case size of 36, with a Pave Diamond Dial and Day Date, Date complications, all with a retail Price of 33600.0"
"The Day-Date collection (Reference Number: 118138) has a case size of 36, with a Bulls Eye Diamond Dial and Day Date, Date complications, all with a retail Price of 27660.0"
"The Day-Date collection (Reference Number: 118138) has a case size of 36, with a Diamond Dial and Day Date, Date complications, all with a retail Price of 23280.0"
"The Day-Date collection (Reference Number: 118138) has a case size of 36, with a Mother of Pearl Diamond Dial and Day Date, Date complications, all with a retail Price of 24900.0"
"The Day-Date collection (Reference Number: 118138) has a case size of 36, with a Standard Dial and Day Date, Date complications, all with a retail Price of 20460.0"
"The Day-Date collection (Reference Number: 118139) has a case size of 36, with a Diamond Dial and Day Date, Date complications, all with a retail Price of 24660.0"
"The Day-Date collection (Reference Number: 118139) has a case size of 36, with a Diamond Emerald Dial and Day Date, Date complications, all with a retail Price of 27840.0"
"The Day-Date collection (Reference Number: 118139) has a case size of 36, with a Lapis Diamond Dial and Day Date, Date complications, all with a retail Price of 29040.0"
"The Day-Date collection (Reference Number: 118139) has a case size of 36, with a Mother of Pearl Diamond Dial and Day Date, Date complications, all with a retail Price of 26280.0"
"The Day-Date collection (Reference Number: 118139) has a case size of 36, with a Pave Diamond Dial and Day Date, Date complications, all with a retail Price of POR"
"The Day-Date collection (Reference Number: 118139) has a case size of 36, with a Standard Dial and Day Date, Date complications, all with a retail Price of 21840.0"
"The Day-Date collection (Reference Number: 118205F) has a case size of 36, with a Diamond Dial Oyster Bracelet and Day Date, Date complications, all with a retail Price of 32760.0"
"The Day-Date collection (Reference Number: 118205F) has a case size of 36, with a Diamond Dial President Bracelet and Day Date, Date complications, all with a retail Price of 34200.0"
"The Day-Date collection (Reference Number: 118205F) has a case size of 36, with a Ferrite Diamond Dial Oyster Bracelet and Day Date, Date complications, all with a retail Price of 37140.0"
"The Day-Date collection (Reference Number: 118205F) has a case size of 36, with a Ferrite Diamond Dial President Bracelet and Day Date, Date complications, all with a retail Price of 38580.0"
"The Day-Date collection (Reference Number: 118205F) has a case size of 36, with a Meteorite Diamond Dial Oyster Bracelet and Day Date, Date complications, all with a retail Price of 37140.0"
"The Day-Date collection (Reference Number: 118205F) has a case size of 36, with a Meteorite Diamond Dial President Bracelet and Day Date, Date complications, all with a retail Price of 38580.0"
"The Day-Date collection (Reference Number: 118205F) has a case size of 36, with a Mother of Pearl Carousel Diamond Dial Oyster Bracelet and Day Date, Date complications, all with a retail Price of 42600.0"
"The Day-Date collection (Reference Number: 118205F) has a case size of 36, with a Mother of Pearl Carousel Diamond Dial President Bracelet and Day Date, Date complications, all with a retail Price of POR"
"The Day-Date collection (Reference Number: 118205F) has a case size of 36, with a Mother of Pearl Diamond Dial Oyster Bracelet and Day Date, Date complications, all with a retail Price of 34380.0"
