Day-Date Descriptions
"The Day-Date collection (Reference Number: 228239) has a case size of 40, with a Diamond Dial President Bracelet and Day Date, Date complications, all with a retail Price of 42060.0"
"The Day-Date collection (Reference Number: 228239) has a case size of 40, with a Standard Dial President Bracelet and Day Date, Date complications, all with a retail Price of 37740.0"
"The Day-Date collection (Reference Number: 228239) has a case size of 40, with a Meteorite Diamond Dial President Bracelet and Day Date, Date complications, all with a retail Price of 46620.0"
"The Day-Date collection (Reference Number: 228239) has a case size of 40, with a Pave Diamond Dial President Bracelet and Day Date, Date complications, all with a retail Price of 67440.0"
"The Day-Date collection (Reference Number: 228348RBR) has a case size of 40, with a Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 54300.0"
"The Day-Date collection (Reference Number: 228348RBR) has a case size of 40, with a Standard Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 49980.0"
"The Day-Date collection (Reference Number: 228345RBR) has a case size of 40, with a Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 56820.0"
"The Day-Date collection (Reference Number: 228345RBR) has a case size of 40, with a Pave Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 82200.0"
"The Day-Date collection (Reference Number: 228345RBR) has a case size of 40, with a Standard Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 52500.0"
"The Day-Date collection (Reference Number: 228349RBR) has a case size of 40, with a Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 56820.0"
"The Day-Date collection (Reference Number: 228349RBR) has a case size of 40, with a Standard Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 52500.0"
"The Day-Date collection (Reference Number: 228349RBR) has a case size of 40, with a Meteorite Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 61380.0"
"The Day-Date collection (Reference Number: 228349RBR) has a case size of 40, with a Pave Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 82200.0"
"The Day-Date collection (Reference Number: 228396TBR) has a case size of 40, with a Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 112020.0"
"The Day-Date collection (Reference Number: 228396TBR) has a case size of 40, with a Standard Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 107700.0"
"The Day-Date collection (Reference Number: 228396TBR) has a case size of 40, with a Meteorite Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 116580.0"
"The Day-Date collection (Reference Number: 228396TBR) has a case size of 40, with a Pave Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 137400.0"
"The Day-Date collection (Reference Number: 228398TBR) has a case size of 40, with a Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 80820.0"
"The Day-Date collection (Reference Number: 228398TBR) has a case size of 40, with a Standard Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 77220.0"
