Day-Date Descriptions
"The Day-Date collection (Reference Number: 118208) has a case size of 36, with a Pave Diamond Dial President Bracelet and Day Date, Date complications, all with a retail Price of POR"
"The Day-Date collection (Reference Number: 118208) has a case size of 36, with a Roman Diamond Dial Oyster Bracelet and Day Date, Date complications, all with a retail Price of 32280.0"
"The Day-Date collection (Reference Number: 118208) has a case size of 36, with a Roman Diamond Dial President Bracelet and Day Date, Date complications, all with a retail Price of 33720.0"
"The Day-Date collection (Reference Number: 118208) has a case size of 36, with a Standard Dial Oyster Bracelet and Day Date, Date complications, all with a retail Price of 27420.0"
"The Day-Date collection (Reference Number: 118208) has a case size of 36, with a Standard Dial President Bracelet and Day Date, Date complications, all with a retail Price of 28860.0"
"The Day-Date collection (Reference Number: 118208) has a case size of 36, with a Standard Dial President Bracelet and Day Date, Date complications, all with a retail Price of 31680.0"
"The Day-Date collection (Reference Number: 128235) has a case size of 36, with a Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 37440.0"
"The Day-Date collection (Reference Number: 128235) has a case size of 36, with a Mother of Pearl Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 39120.0"
"The Day-Date collection (Reference Number: 128235) has a case size of 36, with a Diamond Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 83880.0"
"The Day-Date collection (Reference Number: 128235) has a case size of 36, with a Pave Sapphire Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 64200.0"
"The Day-Date collection (Reference Number: 128235) has a case size of 36, with a Mother of Pearl Diamond Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 85560.0"
"The Day-Date collection (Reference Number: 128235) has a case size of 36, with a Pave Sapphire Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 110640.0"
"The Day-Date collection (Reference Number: 128238) has a case size of 36, with a Standard Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 31980.0"
"The Day-Date collection (Reference Number: 128238) has a case size of 36, with a Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 34920.0"
"The Day-Date collection (Reference Number: 128238) has a case size of 36, with a Mother of Pearl Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 36600.0"
"The Day-Date collection (Reference Number: 128238) has a case size of 36, with a Diamond Index Diamond VI IX Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 42660.0"
"The Day-Date collection (Reference Number: 128238) has a case size of 36, with a Pave Sapphire Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 61680.0"
"The Day-Date collection (Reference Number: 128238) has a case size of 36, with a Standard Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 78300.0"
"The Day-Date collection (Reference Number: 128238) has a case size of 36, with a Diamond Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 81240.0"
"The Day-Date collection (Reference Number: 128238) has a case size of 36, with a Mother of Pearl Diamond Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 82920.0"
"The Day-Date collection (Reference Number: 128238) has a case size of 36, with a Diamond Index Diamond VI IX Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 88980.0"
"The Day-Date collection (Reference Number: 128238) has a case size of 36, with a Pave Sapphire Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 108000.0"
"The Day-Date collection (Reference Number: 128239) has a case size of 36, with a Standard Dial President Bracelet and Day Date, Date complications, all with a retail Price of 34500.0"
"The Day-Date collection (Reference Number: 128239) has a case size of 36, with a Diamond Dial President Bracelet and Day Date, Date complications, all with a retail Price of 37440.0"
"The Day-Date collection (Reference Number: 128239) has a case size of 36, with a Mother of Pearl Diamond Dial President Bracelet and Day Date, Date complications, all with a retail Price of 39120.0"
