Day-Date Descriptions
"The Day-Date collection (Reference Number: 128239) has a case size of 36, with a Diamond Index Diamond VI IX Dial President Bracelet and Day Date, Date complications, all with a retail Price of 45180.0"
"The Day-Date collection (Reference Number: 128239) has a case size of 36, with a Pave Sapphire Dial President Bracelet and Day Date, Date complications, all with a retail Price of 64200.0"
"The Day-Date collection (Reference Number: 128239) has a case size of 36, with a Standard Dial Diamond President Bracelet and Day Date, Date complications, all with a retail Price of 80940.0"
"The Day-Date collection (Reference Number: 128239) has a case size of 36, with a Diamond Dial Diamond President Bracelet and Day Date, Date complications, all with a retail Price of 83880.0"
"The Day-Date collection (Reference Number: 128239) has a case size of 36, with a Mother of Pearl Diamond Dial Diamond President Bracelet and Day Date, Date complications, all with a retail Price of 85560.0"
"The Day-Date collection (Reference Number: 128239) has a case size of 36, with a Diamond Index Diamond VI IX Dial Diamond President Bracelet and Day Date, Date complications, all with a retail Price of 91620.0"
"The Day-Date collection (Reference Number: 128239) has a case size of 36, with a Pave Sapphire Dial Diamond President Bracelet and Day Date, Date complications, all with a retail Price of 110640.0"
"The Day-Date collection (Reference Number: 128345RBR) has a case size of 36, with a Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 50040.0"
"The Day-Date collection (Reference Number: 128345RBR) has a case size of 36, with a Mother of Pearl Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 51720.0"
"The Day-Date collection (Reference Number: 128345RBR) has a case size of 36, with a Diamond Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 96480.0"
"The Day-Date collection (Reference Number: 128345RBR) has a case size of 36, with a Pave Sapphire Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 76800.0"
"The Day-Date collection (Reference Number: 128345RBR) has a case size of 36, with a Mother of Pearl Diamond Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 98160.0"
"The Day-Date collection (Reference Number: 128345RBR) has a case size of 36, with a Pave Sapphire Dial Diamond Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 123240.0"
"The Day-Date collection (Reference Number: 128348RBR) has a case size of 36, with a Standard Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 44580.0"
"The Day-Date collection (Reference Number: 128348RBR) has a case size of 36, with a Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 47520.0"
"The Day-Date collection (Reference Number: 128348RBR) has a case size of 36, with a Mother of Pearl Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 49200.0"
"The Day-Date collection (Reference Number: 128348RBR) has a case size of 36, with a Diamond Index Diamond VI IX Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 55260.0"
"The Day-Date collection (Reference Number: 128348RBR) has a case size of 36, with a Pave Sapphire Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 74280.0"
"The Day-Date collection (Reference Number: 128348RBR) has a case size of 36, with a Standard Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 90900.0"
"The Day-Date collection (Reference Number: 128348RBR) has a case size of 36, with a Diamond Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 93840.0"
"The Day-Date collection (Reference Number: 128348RBR) has a case size of 36, with a Mother of Pearl Diamond Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 95520.0"
"The Day-Date collection (Reference Number: 128348RBR) has a case size of 36, with a Diamond Index Diamond VI IX Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 101580.0"
"The Day-Date collection (Reference Number: 128348RBR) has a case size of 36, with a Pave Sapphire Dial Diamond President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 120600.0"
"The Day-Date collection (Reference Number: 128349RBR) has a case size of 36, with a Standard Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 47100.0"
"The Day-Date collection (Reference Number: 128349RBR) has a case size of 36, with a Diamond Dial President Bracelet and Day Date, Date, Stop Seconds complications, all with a retail Price of 50040.0"
