Submariner Descriptions
"The Submariner collection (Reference Number: 114060) has a case size of 40, with a Non-Date and , Diver complications, all with a retail Price of 7560.0"
"The Submariner collection (Reference Number: 116610LN) has a case size of 40, with a Date and Date, Diver, Stop Seconds complications, all with a retail Price of 8580.0"
"The Submariner collection (Reference Number: 116610LV) has a case size of 40, with a LV Date and Date, Diver, Stop Seconds complications, all with a retail Price of 9060.0"
"The Submariner collection (Reference Number: 116613LB) has a case size of 40, with a Standard Dial and Date, Diver, Stop Seconds complications, all with a retail Price of 13500.0"
"The Submariner collection (Reference Number: 116613LN) has a case size of 40, with a Standard Dial and Date, Diver, Stop Seconds complications, all with a retail Price of 13500.0"
"The Submariner collection (Reference Number: 116618LB) has a case size of 40, with a Standard Dial and Date, Diver, Stop Seconds complications, all with a retail Price of 34380.0"
"The Submariner collection (Reference Number: 116618LN) has a case size of 40, with a Standard Dial and Date, Diver, Stop Seconds complications, all with a retail Price of 34380.0"
"The Submariner collection (Reference Number: 116619LB) has a case size of 40, with a Standard Dial and Date, Diver, Stop Seconds complications, all with a retail Price of 36900.0"
"The Submariner collection (Reference Number: 116659SABR) has a case size of 40, with a Standard Dial and Date, Diver, Stop Seconds complications, all with a retail Price of 89940.0"
"The Submariner collection (Reference Number: 116659SABR) has a case size of 40, with a Pave Diamond Dial and Date, Diver, Stop Seconds complications, all with a retail Price of 109680.0"
"The Submariner collection (Reference Number: 116659SABR) has a case size of 40, with a Pave Diamond Dial Diamond Bracelet and Date, Diver, Stop Seconds complications, all with a retail Price of 191160.0"
