Category,Model,Market Price VS Retail Price,Min Wait Time,Max Wait Time
Average Rolex Waiting List Times at a Glance,Submariner,,4 months,3 years
Average Rolex Waiting List Times at a Glance,Daytona,,2,5 years
Average Rolex Waiting List Times at a Glance,Datejust,,3 months,2 years
Average Rolex Waiting List Times at a Glance,GMT Master II,,6 months,4 years
Rolex Submariner Wait Time,Stainless steel Submariner (black bezel),+18%,3 months,2 years
Rolex Submariner Wait Time,Stainless steel Submariner “Starbucks”,+26%,6 months,3 years
Rolex Submariner Wait Time,Two-tone Submariner (Rolesor),-2%,2 months,1 year
Rolex Submariner Wait Time,Yellow gold Submariner,-12%,0,10 months
Rolex Submariner Wait Time,White gold Submariner,-31%,0,10 months
Rolex Daytona Wait List,Stainless steel Daytona (“Panda”),105%,VIP,"only, 2-8 years"
Rolex Daytona Wait List,Stainless steel Daytona (Black dial),75%,VIP,"only, 1-5 years"
Rolex Daytona Wait List,Two-tone Daytona (Rolesor),6%,3 months,2 years
Rolex Daytona Wait List,Solid gold Daytona,10%,3 months,2 years
Rolex Daytona Wait List,Daytona “LeMans”,400%,VVIP,"only, 3+ years"
Rolex Datejust Wait Time,Stainless steel Datejust 41 (Fluted bezel),0-38%,2 months,3 years
Rolex Datejust Wait Time,Stainless steel Datejust 41 (Smooth bezel),0-27%,2 months,2 years
Rolex Datejust Wait Time,Stainless steel Datejust 36 (Fluted bezel),0-30%,2 months,1 year
Rolex Datejust Wait Time,Stainless steel Datejust 36 (Smooth bezel),0-38%,0,10 months
Rolex Datejust Wait Time,Two-tone and ladies’ Datejust models,0%,0,10 months
Rolex Datejust Wait Time,➢,,The Rolex “Low Mag Cyclops” Debacle of 2014,The Rolex “Low Mag Cyclops” Debacle of 2014
Rolex Datejust Wait Time,➢,,Rolex Engineers a Self,Correcting Optical Atomic Clock
Rolex Datejust Wait Time,➢,,The Most Underrated Rolex Models,The Most Underrated Rolex Models
Rolex Datejust Wait Time,➢,,A Collector’s Guide,Rolex Tridor Models
Rolex Datejust Wait Time,➢,,The Rolex Grand Link: A 5/4 President Bracelet Link,The Rolex Grand Link: A 5/4 President Bracelet Link
Rolex GMT Wait Time,GMT-Master II “Pepsi” (Steel),+80%,VIP,"only, 3-5 years"
Rolex GMT Wait Time,GMT-Master II GRNR “Bruce Wayne” (Steel),+78%,2,5 years
Rolex GMT Wait Time,GMT-Master II BLNR “Batman”,+55%,1,4 years
Rolex GMT Wait Time,GMT-Master II CHNR “Root Beer” (Two-tone),+2%,6 months,3 years
Rolex GMT Wait Time,GMT-Master II GRNR “Zombie” (Two-tone),+7%,6 months,3 years
Rolex GMT Wait Time,"GMT-Master II (Solid gold, standard dial)",-11%,0,10 months
Rolex GMT Wait Time,"GMT-Master II (Solid gold, tiger iron dial)",+75%,VIP,"only, 1-3 years"
Rolex Oyster Perpetual Wait Time,"Oyster Perpetual Pistachio, Beige or Lavender dial",60-125%,1,3 years
Rolex Oyster Perpetual Wait Time,Oyster Perpetual Turquoise dial,75%-240%,VIP,"only, 2-5 years"
Rolex Oyster Perpetual Wait Time,Oyster Perpetual Candy Pink dial,80-125%,1,3 years
Rolex Oyster Perpetual Wait Time,Oyster Perpetual Green or Blue dial,12-60%,2 months,3 years
Rolex Oyster Perpetual Wait Time,Oyster Perpetual Silver or Black dial,0-58%,2 months,3 years
Rolex Explorer Wait Time,Explorer 36 (Steel),+0%,0,10 months
Rolex Explorer Wait Time,Explorer 36 (Two-tone),-23%,0,10 months
Rolex Explorer Wait Time,Explorer 40,+6%,2 months,2 years
Rolex Explorer Wait Time,Explorer II,+8%,5 months,3 years
Rolex Sky-Dweller Wait Time,Steel Sky-Dweller with Mint Green dial,+43%,VIP,"only, 2-5 years"
Rolex Sky-Dweller Wait Time,Steel Sky-Dweller with Blue dial,+37%,VIP,"only, 2-5 years"
Rolex Sky-Dweller Wait Time,Steel Sky-Dweller with White or Black dial,+8%,1,5 years
Rolex Sky-Dweller Wait Time,Rose Gold Sky-Dweller with Blue-Green dial,+16%,VIP,"only, 2-5 years"
Rolex Sky-Dweller Wait Time,Yellow Gold Sky-Dweller with Green dial,+20%,VIP,"only, 2-5 years"
Rolex Sky-Dweller Wait Time,White Gold or Yellow Gold Sky-Dweller (except Green dial),-23%,2 months,2 years
Rolex Sky-Dweller Wait Time,Two-Tone Sky-Dweller,-5%,2 months,2 years
Skip the Line and Buy it from a Grey Market Dealer,➢,,How Many Links Does a Rolex Come With?,How Many Links Does a Rolex Come With?
Skip the Line and Buy it from a Grey Market Dealer,➢,,How Does The Rolex Waiting List Work? Can it Be Avoided?,How Does The Rolex Waiting List Work? Can it Be Avoided?
Skip the Line and Buy it from a Grey Market Dealer,➢,,Breaking Down Rolex Prices: Retail vs. Market,Breaking Down Rolex Prices: Retail vs. Market
Skip the Line and Buy it from a Grey Market Dealer,➢,,Women’s Rolex Watch Guide,Women’s Rolex Watch Guide
Skip the Line and Buy it from a Grey Market Dealer,➢,,What is the Rolex Rehaut?,What is the Rolex Rehaut?
Skip the Line and Buy it from a Grey Market Dealer,➢,,Collector’s Guide,Rare Rolexes
